Organization,Address,Region,Phone,Website,Location Rank
Vestavia Hills,"3051 Healthy Way, Vestavia, Alabama 35243",,205-547-3100,https://www.lifetime.life/locations/al/vestavia-hills.html,Preferred Target
Biltmore,"2580 E. Camelback Rd, Phoenix, Arizona 85016",,623-244-3200,https://www.lifetime.life/locations/az/biltmore.html,Preferred Target
Gilbert,"381 East Warner Rd, Gilbert, Arizona 85296",,480-892-5020,https://www.lifetime.life/locations/az/gilbert.html,Preferred Target
Happy Valley-Peoria,"24700 North 67th Ave, Peoria, Arizona 85383",,623-259-3400,https://www.lifetime.life/locations/az/happy-valley-peoria.html,Preferred Target
North Scottsdale,"6850 E Chauncey Ln, Phoenix, Arizona 85054",,480-538-9009,https://www.lifetime.life/locations/az/north-scottsdale.html,Preferred Target
Ocotillo,"1505 East Ocotillo Road, Gilbert, AZ 85298",,,https://www.lifetime.life/locations/az/ocotillo.html,Preferred Target
Palm Valley,"14540 W McDowell Rd, Goodyear, Arizona 85395",,623-536-9595,https://www.lifetime.life/locations/az/palm-valley.html,Preferred Target
Paradise Valley,"12800 North Tatum Blvd, Phoenix, AZ 85032",,,https://www.lifetime.life/locations/az/paradise-valley.html,Preferred Target
Scottsdale Fashion Square,"4724 N Goldwater Blvd, Scottsdale, Arizona 85251",,480-791-0635,https://www.lifetime.life/locations/az/scottsdale-fashion-square.html,Preferred Target
Tempe,"1616 W Ruby Dr, Tempe, Arizona 85284",,480-705-8855,https://www.lifetime.life/locations/az/tempe.html,Preferred Target
Arden,"1220 Arden Hills Lane, Sacramento, CA 95864",,,https://www.lifetime.life/locations/ca/arden.html,Preferred Target
Brea,"1600 Brea Mall Road, Brea, CA 92821",,,https://www.lifetime.life/locations/ca/brea.html,Preferred Target
Folsom,"110 Healthy Way, Folsom, California 95630",,916-597-9100,https://www.lifetime.life/locations/ca/folsom.html,Preferred Target
La Jolla,"1055 Wall Street, La Jolla, California 92037",,858-410-7100,https://www.lifetime.life/locations/ca/la-jolla.html,Preferred Target
Laguna Niguel,"25600 Rancho Niguel Rd, Laguna Niguel, California 92677",,949-238-2700,https://www.lifetime.life/locations/ca/laguna-niguel.html,Preferred Target
